begdate,enddate,pressconf,scheduled,document,url
3/18/1936,3/18/1936,0,1,Historical Minutes (400 KB PDF),/monetarypolicy/files/FOMChistmin19360318.pdf
3/19/1936,3/19/1936,0,1,Record of Policy Actions (271 KB PDF),/monetarypolicy/files/fomcropa19360319.pdf
5/25/1936,5/25/1936,0,1,Record of Policy Actions (143 KB PDF),/monetarypolicy/files/fomcropa19360525.pdf
11/19/1936,11/19/1936,0,1,Historical Minutes (176 KB PDF),/monetarypolicy/files/FOMChistmin19361119.pdf
11/20/1936,11/20/1936,0,1,Record of Policy Actions (198 KB PDF),/monetarypolicy/files/fomcropa19361120.pdf
1/26/1937,1/26/1937,0,1,Record of Policy Actions (272 KB PDF),/monetarypolicy/files/fomcropa19370126.pdf
3/15/1937,3/15/1937,0,1,Record of Policy Actions (301 KB PDF),/monetarypolicy/files/fomcropa19370315.pdf
4/3/1937,4/4/1937,0,1,Record of Policy Actions (284 KB PDF),/monetarypolicy/files/fomcropa19370404.pdf
5/4/1937,5/5/1937,0,1,Record of Policy Actions (145 KB PDF),/monetarypolicy/files/fomcropa19370505.pdf
6/9/1937,6/9/1937,0,1,Record of Policy Actions (145 KB PDF),/monetarypolicy/files/fomcropa19370609.pdf
9/11/1937,9/12/1937,0,1,Record of Policy Actions (282 KB PDF),/monetarypolicy/files/fomcropa19370912.pdf
11/29/1937,12/1/1937,0,1,Record of Policy Actions (218 KB PDF),/monetarypolicy/files/fomcropa19371201.pdf
2/28/1938,3/1/1938,0,1,Record of Policy Actions (147 KB PDF),/monetarypolicy/files/fomcropa19380301.pdf
4/21/1938,4/22/1938,0,1,Record of Policy Actions (283 KB PDF),/monetarypolicy/files/fomcropa19380422.pdf
4/29/1938,4/29/1938,0,1,Record of Policy Actions (297 KB PDF),/monetarypolicy/files/fomcropa19380429.pdf
8/2/1938,8/2/1938,0,1,Record of Policy Actions (162 KB PDF),/monetarypolicy/files/fomcropa19380802.pdf
9/21/1938,9/21/1938,0,1,Record of Policy Actions (309 KB PDF),/monetarypolicy/files/fomcropa19380921.pdf
12/30/1938,12/30/1938,0,1,Record of Policy Actions (224 KB PDF),/monetarypolicy/files/fomcropa19381230.pdf
3/6/1939,3/7/1939,0,1,Record of Policy Actions (243 KB PDF),/monetarypolicy/files/fomcropa19390307.pdf
3/20/1939,3/20/1939,0,1,Record of Policy Actions (145 KB PDF),/monetarypolicy/files/fomcropa19390320.pdf
4/19/1939,4/19/1939,0,1,Record of Policy Actions (279 KB PDF),/monetarypolicy/files/fomcropa19390419.pdf
6/20/1939,6/21/1939,0,1,Record of Policy Actions (282 KB PDF),/monetarypolicy/files/fomcropa19390621.pdf
